1	510.209
2	535.385
3	508.61
4	519.652
5	541.365
6	522.307
7	529.118
8	512.407
9	505.108
10	496.323
11	516.537
12	544.43
13	519.244
14	495.5
15	514.121
16	502.991
17	504.376
18	515.056
19	507.157
20	527.611
21	527.529
22	513.105
23	499.032
24	466.964
25	512.745
26	522.693
27	514.953
28	533.61
29	552.358
30	538.079
31	518.55
32	528.206
33	535.642
34	504.481
35	521.536
36	518.418
37	512.168
38	486.127
39	536.535
40	512.03
41	533.954
42	552.659
43	555.059
44	554.215
45	527.237
46	530.954
47	542.198
48	505.208
49	541.217
50	563.928
51	504.278
52	502.989
53	513.004
54	540.463
55	521.292
56	542.67
57	548.27
58	534.652
59	550.24
60	547.127
61	531.591
62	543.087
63	537.431
64	547.458
65	557.023
66	531.246
67	538.283
68	534.451
69	523.276
70	491.753
71	473.204
72	529.851
73	522.719
74	513.34
75	545.806
76	521.873
77	546.567
78	516.216
